"","P","M","Replicate","m_meanleng","m_sdleng","p_meanleng","p_sdleng","Exposure date","Mortality date","Spore count date","Pasteuria spore count 1","Pasteuria spore count 2","Pasteuria spore count 3","Avg Pasteuria spore load at death (spores/mL)","Metschnikowia spore count 1","Metschnikowia spore count 2","Metschnikowia spore count 3","Avg Metsch spore load at death (spores/mL)","Comments","lifespan.day"
"119",2000,2000,"D",59.6797352767663,2.31059382742809,0,0,2018-01-23 05:00:00,2018-02-07 05:00:00,2018-04-12 00:00:00,0,"0","0",0,83,"79","105",890000,"0",21
"120",2000,2000,"E",58.7118659091217,1.3306731074833,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2019-07-27 00:00:00,0,"0","0",0,109,"125","142",1253333.33333333,"0",23
"121",2000,2000,"F",58.9427504516233,3.29146713892671,0,0,2018-01-23 05:00:00,2018-02-09 05:00:00,2018-05-04 00:00:00,0,"0","0",0,152,"144","155",1503333.33333333,"0",23
"122",2000,2000,"G",55.603419596985,6.81004312396175,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-12-17 05:00:00,0,"0","0",0,127,"148","114",1296666.66666667,"0",24
"123",2000,2000,"H",59.3168318710979,3.58976324302434,0,0,2018-01-23 05:00:00,2018-02-10 05:00:00,2019-12-17 05:00:00,0,"0","0",0,83,"97","83",876666.666666667,"0",24
"124",2000,2000,"I",0,0,5.59761890701781,0.44760896190532,2018-01-23 05:00:00,2018-02-15 05:00:00,2018-11-13 05:00:00,115,"106","97",1060000,0,"0","0",0,"0",29
"125",2000,250,"A",54.9575445785395,4.25555915658672,0,0,2018-01-23 05:00:00,2018-02-03 05:00:00,2018-03-28 00:00:00,0,"0","0",0,53,"59","50",540000,"0",17
"126",2000,250,"B",60.4089024609959,3.71231479025748,0,0,2018-01-23 05:00:00,2018-02-05 05:00:00,2018-04-10 00:00:00,0,"0","0",0,59,"42","64",550000,"all counts from 4/10/18 used 7.97 uL sample volume instead of the usual 10 uL",19
"127",2000,250,"D",55.2009450330256,7.48608900262756,0,0,2018-01-23 05:00:00,2018-02-08 05:00:00,2018-07-17 00:00:00,0,"0","0",0,113,"123","113",1163333.33333333,"0",22
"128",2000,250,"F",57.9769350482345,4.67200514624755,5.1268339378628,0.447059017487333,2018-01-23 05:00:00,2018-02-10 05:00:00,2018-11-26 05:00:00,8,"6","7",70000,108,"87","114",1030000,"0",24
